"individualID","domainID","siteID","plotID","namedLocation","uid.x","date.x","eventID.x","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","recordType","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks.x","measuredBy.x","recordedBy.x","dataQF.x","publicationDate.x","release.x","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty","uid.y","date.y","eventID.y","tempStemID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","dendrometerInstallationDate","initialGapMeasurementDate","initialBandStemDiameter","initialDendrometerGap","dendrometerHeight","dendrometerGap","dendrometerCondition","bandStemDiameter","remarks.y","recordedBy.y","measuredBy.y","dataQF.y","publicationDate.y","release.y","dataEntryRecordID"
"NEON.PLA.D17.SOAP.00163","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","80a12690-3261-4bf5-95b7-ef8d34929c60",2015-10-07,"vst_SOAP_2015","39","1",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","RIRO","Ribes roezlii Regel","species",NA,NA,NA,NA,NA,"krian@neoninc.org","emccarthy@field-ops.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"8529294b-ba6f-45b2-b330-33c2b784381d",2015-10-07,"vst_SOAP_2015",NA,NA,"sapling","Live",NA,NA,NA,0.8,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emccarthy@field-ops.org","krian@neoninc.org","legacyData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00164","D17","SOAP","SOAP_044","SOAP_044.basePlot.vst","33456b14-9fce-48d1-92ec-600771554e91",2015-10-12,"vst_SOAP_2015","41","4","61",0.8,230.4,NA,NA,NA,"NEON.DOC.000987vE","QUKE","Quercus kelloggii Newberry","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","tedgarian@neoninc.org",NA,"20221130T000443Z","PROVISIONAL","11N",4100788.58586081,298175.771849406,0.77,37.0316282743001,-119.269073788486,"1238.82",1.22,"e64e0f5e-6552-4c95-8527-3cad1b677560",2015-10-12,"vst_SOAP_2015",NA,NA,"multi-bole tree","Live",46.1,90,NA,NA,NA,NA,NA,NA,NA,"Mostly shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mbt measured below split rather than each bole at 130cm","tedgarian@neoninc.org","kzias@field-ops.org","legacyData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00164A","D17","SOAP","SOAP_044","SOAP_044.basePlot.vst","4d532338-a2cf-4748-bc60-f77bc739ec82",2015-10-12,"vst_SOAP_2015","41",NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","QUKE","Quercus kelloggii Newberry","species",NA,NA,NA,NA,NA,"krian@neoninc.org","emccarthy@field-ops.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D17.SOAP.00165","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","c74baeac-a295-4bd8-99ef-baf2a70029cd",2015-08-12,"vst_SOAP_2015","39","1",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","QUCH2","Quercus chrysolepis Liebm.","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"958a6ebf-76e2-48d7-b68a-f8f54c4f99fb",2015-08-12,"vst_SOAP_2015",NA,NA,"sapling","Live",NA,NA,NA,1.9,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00166","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","8188ea09-89f2-4942-9ac0-779a2496f95f",2015-08-12,"vst_SOAP_2015","39","1",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","QUKE","Quercus kelloggii Newberry","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"e63cb604-c887-4dc7-833d-c270afa3bc16",2015-08-12,"vst_SOAP_2015",NA,NA,"sapling","Live",NA,NA,NA,0.4,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00167","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","f7412e86-dbd4-4334-95b9-bcfac1e4cc7c",2015-08-12,"vst_SOAP_2015","39","1",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","QUKE","Quercus kelloggii Newberry","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"5b2c2078-7960-40e8-bf4e-278434d5f5ac",2015-08-12,"vst_SOAP_2015",NA,NA,"sapling","Live",NA,NA,NA,0.7,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"proofed and no errors","lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00168","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","da3ebaca-3f4c-40b7-896d-d7e0918a66eb",2015-08-12,"vst_SOAP_2015","39","1","39",5,58.5,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL","11N",4101016.74022282,297809.166050822,0.71,37.033604449477,-119.27325380452,"1306.96",1.11,"031d94ba-1dc0-42b9-8793-a6250573175c",2015-08-12,"vst_SOAP_2015",NA,NA,"single bole tree","Standing dead",41.3,130,NA,NA,NA,NA,NA,NA,NA,"Partially shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00169","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","1ec4f89b-1a76-4c0d-95e8-fc9361f50d0d",2015-08-12,"vst_SOAP_2015","39","1",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","QUKE","Quercus kelloggii Newberry","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"f0bfca38-434f-43fa-a054-270a49459120",2015-08-12,"vst_SOAP_2015",NA,NA,"sapling","Live",NA,NA,NA,1,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00170","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","81187af7-51fe-421f-b877-2bdaadb1ff00",2015-08-12,"vst_SOAP_2015","39","1","39",7.4,59.8,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL","11N",4101017.8500776,297811.298483534,0.71,37.0336149054546,-119.273230144643,"1306.96",1.11,"43b9f7f0-b258-4fc4-a230-cba7bcec0bf7",2015-08-12,"vst_SOAP_2015",NA,NA,"single bole tree","Live",30.7,130,NA,NA,NA,NA,NA,NA,NA,"Mostly shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00171","D17","SOAP","SOAP_044","SOAP_044.basePlot.vst","b1a0b307-6bb2-4bc6-bf09-0a39d98135ec",2015-10-12,"vst_SOAP_2015","41","4","61",1.1,252.6,NA,NA,NA,"NEON.DOC.000987vE","CADE27","Calocedrus decurrens (Torr.) Florin","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","tedgarian@neoninc.org",NA,"20221130T000443Z","PROVISIONAL","11N",4100788.76685513,298175.338595639,0.77,37.0316298114427,-119.269078704529,"1238.82",1.22,"f377d542-976e-4214-a3d5-2f1a3d1a54f4",2015-10-12,"vst_SOAP_2015",NA,NA,"single bole tree","Live",17.8,130,NA,NA,NA,NA,NA,NA,NA,"Mostly shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","kzias@field-ops.org","legacyData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00172","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","4f1859d7-cdfb-40a7-b108-30c1586555b9",2015-08-12,"vst_SOAP_2015","39","1","39",9.2,58.7,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL","11N",4101018.90730583,297812.763871237,0.71,37.0336247437595,-119.273213964913,"1306.96",1.11,"c5e072bc-7656-496a-878f-e0c35d084de3",2015-08-12,"vst_SOAP_2015",NA,NA,"single bole tree","Live",47.3,130,NA,NA,NA,NA,NA,NA,NA,"Partially shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00173","D17","SOAP","SOAP_044","SOAP_044.basePlot.vst","6720509b-c8a8-47a9-b8a3-b7b513acce2a",2015-10-12,"vst_SOAP_2015","41","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","CEIN3","Ceanothus integerrimus Hook. & Arn.","species",NA,NA,NA,NA,"proofed and no errors","kzias@field-ops.org","tedgarian@neoninc.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"f2a89357-ef44-4ef6-bdaa-fad7157e6864",2015-10-12,"vst_SOAP_2015",NA,NA,"small tree","Live",1.5,130,NA,2.9,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","kzias@field-ops.org","legacyData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00174","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","09c9566c-1095-43fa-b486-458b395d19ab",2015-08-12,"vst_SOAP_2015","39","1","39",8.9,76.5,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL","11N",4101016.20539374,297813.556942292,0.71,37.0336005777066,-119.273204328954,"1306.96",1.11,"bf0ce30c-3729-4662-86ba-e05243553712",2015-08-12,"vst_SOAP_2015",NA,NA,"single bole tree","Live",50.9,130,NA,NA,NA,NA,NA,NA,NA,"Full sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00175","D17","SOAP","SOAP_044","SOAP_044.basePlot.vst","0baff35b-7f46-4e89-bfc6-ab923cc590c1",2015-10-12,"vst_SOAP_2015","41","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","tedgarian@neoninc.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"94154975-91f5-4af1-92d2-a57c150b06a1",2015-10-12,"vst_SOAP_2015",NA,NA,"small tree","Live,  other damage",2.2,130,NA,2.7,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","kzias@field-ops.org","legacyData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00176","D17","SOAP","SOAP_044","SOAP_044.basePlot.vst","81ebc57a-ef93-46f1-a9ef-cea65c075aef",2015-10-12,"vst_SOAP_2015","41","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","QUCH2","Quercus chrysolepis Liebm.","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","tedgarian@neoninc.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"297c8c0e-9c90-4ac8-88aa-b9fb58b51f5f",2015-10-12,"vst_SOAP_2015",NA,NA,"single shrub","Live",NA,NA,NA,3,NA,NA,NA,1.6,1.6,"Full shade","cylinder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","kzias@field-ops.org","legacyData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00177","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","18dc96c4-0e03-46af-a06d-768c3b564a84",2015-08-12,"vst_SOAP_2015","39","1","39",6.7,82.1,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL","11N",4101015.04860846,297811.539263404,0.71,37.0335897237309,-119.273226686958,"1306.96",1.11,"0fe2abdf-a14b-44d3-98b9-611d21e0f550",2015-08-12,"vst_SOAP_2015",NA,NA,"single bole tree","Live",39.9,130,NA,NA,NA,NA,NA,NA,NA,"Mostly shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00178","D17","SOAP","SOAP_044","SOAP_044.basePlot.vst","d0e7ac9b-5976-4cea-afd5-72e4de08ea7e",2015-10-12,"vst_SOAP_2015","41","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","QUCH2","Quercus chrysolepis Liebm.","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","tedgarian@neoninc.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"e84d78a4-fd2a-4a7d-924e-5785fddb76a5",2015-10-12,"vst_SOAP_2015",NA,NA,"sapling","Live",NA,NA,NA,0.8,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","kzias@field-ops.org","legacyData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00179","D17","SOAP","SOAP_044","SOAP_044.basePlot.vst","a4a86000-ee76-4429-9972-dd891ebccd0c",2015-10-12,"vst_SOAP_2015","41","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","2PLANT","Unknown plant","kingdom",NA,NA,NA,NA,NA,"kzias@field-ops.org","tedgarian@neoninc.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"3254de93-43b6-4c56-9a94-86777f6c63fd",2015-10-12,"vst_SOAP_2015",NA,NA,"sapling","Standing dead",NA,NA,NA,1.2,NA,NA,NA,NA,NA,"Full shade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","kzias@field-ops.org","legacyData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00180","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","83bce97f-c85a-44dc-9fc9-1383d7c34b3b",2015-08-12,"vst_SOAP_2015","39","3","57",8,171.1,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,"proofed and no errors","kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL","11N",4101025.62257107,297807.40540309,0.71,37.0336840759795,-119.273275971455,"1310.12",1.1,"ae9a6e47-90b6-452c-a3bb-42849a2d76cc",2015-08-12,"vst_SOAP_2015",NA,NA,"single bole tree","Live",48.1,130,NA,NA,NA,NA,NA,NA,NA,"Partially shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00181","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","6c0503b4-f785-442c-ad6f-72dc6a3401f4",2015-08-12,"vst_SOAP_2015","39","3",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"a96888e0-4410-411d-9a0f-288b72106abf",2015-08-12,"vst_SOAP_2015",NA,NA,"small tree","Live",2.9,130,NA,2.5,NA,NA,NA,NA,NA,"Partially shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00182","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","df60f767-e908-4455-aeb1-a32ab4e629e0",2015-08-12,"vst_SOAP_2015","39","3",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL",NA,NA,NA,NA,NA,NA,NA,NA,"5d4ccf01-eda6-4fcf-8a87-c885f3f58ec7",2015-08-12,"vst_SOAP_2015",NA,NA,"small tree","Live",4.6,130,NA,3.8,NA,NA,NA,NA,NA,"Partially shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
